,alphabet,x,y
0,adel,139.794037,35.769298
1,adel,139.844151,35.739613
2,adel,139.868606,35.694685
3,adel,139.827480,35.719156
4,adel,139.879957,35.679755
5,adel,139.902808,35.697803
6,adel,139.765885,35.763224
7,adel,139.746037,35.741770
8,adel,139.860670,35.660469
9,adel,139.733853,35.753759
10,adel,139.852052,35.733744
11,adel,139.819684,35.717048
12,adel,139.785181,35.729989
13,adel,139.706629,35.574461
14,adel,139.767983,35.811593
15,adel,139.813652,35.704130
16,adel,139.845409,35.743997
17,adel,139.728438,35.741876
18,adel,139.798998,35.694088
19,adel,139.832352,35.764485
20,adel,139.832352,35.764485
21,adel,139.822688,35.695595
22,adel,139.806820,35.715147
23,adel,139.870171,35.681948
24,adel,139.780900,35.726600
25,adel,139.815260,35.704194
26,adel,139.826197,35.711681
27,adel,139.609680,35.677992
28,adel,139.577608,35.753873
29,adel,139.640494,35.754991
30,adel,139.619470,35.689283
31,adel,139.824712,35.758888
32,urban,139.662903,35.712035
33,urban,139.697425,35.662090
34,urban,139.728979,35.748593
35,urban,139.728979,35.748593
36,urban,139.630423,35.778058
37,urban,139.710341,35.670429
38,urban,139.733413,35.645080
39,urban,139.679272,35.618020
40,urban,139.771031,35.730395
41,urban,139.664700,35.700034
42,urban,139.631332,35.774215
43,urban,139.760355,35.698446
44,urban,139.692943,35.724560
45,urban,139.682289,35.788344
46,urban,139.698679,35.760830
47,urban,139.618179,35.651194
48,urban,139.677147,35.788566
49,urban,139.731867,35.705958
50,urban,139.684965,35.703674
51,urban,139.750856,35.648289
52,urban,139.884369,35.662198
53,urban,139.833559,35.770916
54,urban,139.671487,35.641199
55,urban,139.726428,35.627760
56,urban,139.718085,35.747128
57,urban,139.855608,35.755176
58,urban,139.694942,35.644145
59,urban,139.811252,35.724803
60,urban,139.685585,35.708887
61,urban,139.754002,35.661557
62,urban,139.636164,35.734815
63,urban,139.797811,35.740193
64,urban,139.764452,35.694696
65,urban,139.734338,35.631804
66,urban,139.804936,35.673999
67,urban,139.833407,35.709118
68,urban,139.698452,35.738204
69,urban,139.740447,35.757670
70,urban,139.742684,35.714264
71,urban,139.599893,35.699753
72,urban,139.667366,35.712073
73,urban,139.711269,35.631037
74,urban,139.713041,35.708898
75,urban,139.861353,35.720610
76,urban,139.806907,35.697742
77,urban,139.810394,35.690723
78,urban,139.759525,35.745371
79,urban,139.823890,35.733159
80,urban,139.860992,35.722981
81,urban,139.736163,35.757787
82,urban,139.896192,35.741545
83,urban,139.746037,35.741770
84,urban,139.793999,35.693799
85,urban,139.729794,35.707939
86,urban,139.631332,35.774215
87,urban,139.735398,35.653226
88,urban,139.792777,35.655271
89,urban,139.732558,35.605854
90,urban,139.792777,35.655271
91,urban,139.792777,35.655271
92,urban,139.792777,35.655271
93,urban,139.823446,35.714639
94,urban,139.658411,35.743339
95,urban,139.792827,35.737924
96,urban,139.656947,35.675258
97,urban,139.721116,35.690070
98,urban,139.875935,35.686893
99,urban,139.762937,35.704428
100,urban,139.809688,35.736832
101,urban,139.800664,35.653798
102,urban,139.809688,35.736832
103,urban,139.809688,35.736832
104,urban,139.684061,35.694512
105,urban,139.907932,35.706991
106,urban,139.692666,35.607010
107,urban,139.622536,35.743412
108,urban,139.727698,35.664226
109,urban,139.775812,35.724885
110,urban,139.690103,35.667245
111,urban,139.755239,35.709455
112,urban,139.699185,35.710764
113,urban,139.800941,35.706418
114,urban,139.735037,35.699950
115,urban,139.857812,35.734848
116,urban,139.737808,35.646225
117,urban,139.711269,35.631037
118,urban,139.781855,35.665153
119,urban,139.665353,35.641700
120,urban,139.731129,35.727839
121,urban,139.737127,35.551008
122,urban,139.639622,35.611210
123,urban,139.615072,35.625918
124,urban,139.738306,35.567425
125,urban,139.804417,35.772771
126,urban,139.810940,35.666833
127,urban,139.810940,35.666833
128,urban,139.810940,35.666833
129,urban,139.614213,35.641125
130,urban,139.650836,35.614832
131,urban,139.653438,35.601199
132,urban,139.803278,35.753395
133,urban,139.822238,35.724450
134,urban,139.726428,35.627760
135,urban,139.845297,35.701457
136,urban,139.730545,35.666781
137,urban,139.700250,35.597521
138,urban,139.689648,35.673740
139,urban,139.748327,35.609514
140,urban,139.755239,35.709455
141,urban,139.690103,35.667245
142,urban,139.841542,35.688353
143,urban,139.867607,35.742496
144,urban,139.662903,35.712035
145,urban,139.801646,35.694117
146,urban,139.712382,35.655627
147,urban,139.806803,35.667252
148,urban,139.783872,35.708110
149,urban,139.670734,35.695683
150,urban,139.779061,35.658107
151,urban,139.888355,35.731473
152,urban,139.670734,35.695683
153,urban,139.673850,35.580197
154,urban,139.720499,35.603569
155,urban,139.740534,35.732670
156,urban,139.835355,35.687986
157,urban,139.756750,35.721600
158,urban,139.792593,35.688450
159,urban,139.785780,35.703663
160,urban,139.819652,35.711901
161,urban,139.806494,35.790538
162,urban,139.800793,35.721163
163,urban,139.677147,35.788566
164,urban,139.785780,35.703663
165,urban,139.713041,35.708898
166,urban,139.713041,35.708898
167,urban,139.716787,35.593570
168,urban,139.677147,35.788566
169,urban,139.679839,35.746066
170,urban,139.816971,35.764148
171,urban,139.761553,35.734927
172,urban,139.725243,35.717243
173,urban,139.754275,35.695365
174,urban,139.746321,35.604821
175,urban,139.746321,35.604821
176,urban,139.862044,35.693236
177,urban,139.710368,35.566056
178,urban,139.805621,35.779852
179,urban,139.671271,35.683659
180,urban,139.734221,35.596874
181,urban,139.806803,35.667252
182,urban,139.884191,35.682233
183,urban,139.713575,35.787935
184,urban,139.815824,35.677999
185,urban,139.711433,35.557580
186,urban,139.743093,35.618206
187,urban,139.702698,35.637258
188,urban,139.790857,35.716008
189,urban,139.720287,35.552620
190,urban,139.624973,35.624832
191,urban,139.823446,35.714639
192,urban,139.727063,35.729118
193,urban,139.686589,35.602000
194,urban,139.806156,35.706926
195,urban,139.761869,35.722905
196,urban,139.660952,35.772017
197,urban,139.605534,35.741935
198,urban,139.681274,35.721082
199,urban,139.682353,35.597953
200,urban,139.877366,35.661365
201,urban,139.676336,35.783005
202,urban,139.851930,35.756936
203,urban,139.719843,35.565696
